FID,token,names,latitude,longitude,identifier,counts
132,Tingi,"['Tingi', 'Tingitani', 'Thymiaterion', 'Tanger', 'Tingis', 'Tangier', 'Τιγγίς', 'Τίγγις']",35.787924,-5.810048,http://pleiades.stoa.org/places/275736,1
133,Tingitana,['Mauretania Tingitana'],35.25,-5.75,http://pleiades.stoa.org/places/275673,1
134,Morocco,"['Lixus', 'Lixox', 'Lunx']",35.1147428,-6.033041,http://pleiades.stoa.org/places/275667,2
135,Mount Atlas,"['Carmel M.', 'Κάρμηλος', 'Karmelos', 'Mount Carmel', 'Carmel Mons']",32.7286111,35.0466669,http://pleiades.stoa.org/places/678084,1
136,Atlantic,"['Britannicum Mare', 'English Channel', 'la Manche']",50,-2,http://pleiades.stoa.org/places/20420,1
137,the Mediterranean Sea,"['Mulucha', 'Malva']",35.1142583,-2.345498,http://pleiades.stoa.org/places/285491,1
138,Great Britain,"['Britannia', 'Albion', 'Βρεττανία', 'Britain', 'برطينية']",53.826,-2.422,http://pleiades.stoa.org/places/20419,1
139,Corsica,"['Corsica', 'Κύρνος', 'Kyrnos', 'Κύρνος']",42,9,http://pleiades.stoa.org/places/472063,1
140,Sardinia and Sicily,"['Buduntini', 'Lago di Baratz']",40.6814887,8.2218591,http://pleiades.stoa.org/places/471896,1
141,Cyprus,['Cyprus'],35.14052197,33.40349071,http://pleiades.stoa.org/places/981516,1
142,Malta,"['Melita', 'Mdina / Rabat', 'Republic of Malta', 'State of Malta', 'مالطة', 'Malta', 'Μάλτα', 'Malte', 'माल्टा', 'マルタ', 'Мальта', '马耳他', 'Isla de Malta', 'Malta Island', 'マルタ島', 'مالطا', 'মাল্টা', 'Repubblika ta’ Malta', 'Μελίτη', 'Malthe', 'Man-ta', 'Maltë']",35.8851671,14.4001243,http://pleiades.stoa.org/places/462310,1
143,the Western Ocean,"['Thule', 'Shetland', 'Thule Inss.', 'Θούλη']",60.3962008,-1.4088929,http://pleiades.stoa.org/places/20624,1
144,the Temperate Zone,"['Zoitia', 'Zoiteion', 'Zone', 'Ζοίτειον']",37.468145,22.141115,http://pleiades.stoa.org/places/570765,1
145,China,"['Lithinos Pyrgos', 'Tashkurgan CHN']",37.774616,75.22933,http://pleiades.stoa.org/places/59897,1
146,Olympian,"['Olympos M.', 'Ὀλυμπιεῖον']",37.875,23.875,http://pleiades.stoa.org/places/580042,1
147,the Capitoline Jupiter,"['mons Tarpeius', 'Monte Capitolino', 'Capitoline Hill', 'mons Capitolinus', 'Καπιτώλιον']",41.8925778,12.4822154,http://pleiades.stoa.org/places/347036492,1
148,Calabria,"['Calabria', 'Calabri', 'Καλαβρία']",40.75,17.75,http://pleiades.stoa.org/places/442518,1
149,Tusculum,"['Tusculum', 'Tuscolo', 'Tuscolo, Monte Porzio Catone', 'Τούσκουλον']",41.798246,12.710716,http://pleiades.stoa.org/places/423108,1
150,Etruria,"['Etruria', 'Tuscia', 'Rasna', 'Τυρρηνία']",43.75,11.75,http://pleiades.stoa.org/places/413122,1
151,Mithridates,"['Eupatoria', 'Magnopolis']",40.5,36.5,http://pleiades.stoa.org/places/857122,1
152,Gaul,['Menapii'],50.5,3.5,http://pleiades.stoa.org/places/109156,2
153,Thames,"['Tamesis', 'Thames', 'Ταμέσα']",51.4989,0.6087,http://pleiades.stoa.org/places/79705,1
154,Tiber,['Isola Tiberina'],41.890833,12.477222,http://pleiades.stoa.org/places/771725842,1
155,Atticus,"['Redicolo, Roma']",41.865147,12.516453,http://pleiades.stoa.org/places/423022,2
156,Troas,"['Τρῳάς', 'Troas', 'Troad']",39.915,26.27,http://pleiades.stoa.org/places/550944,1
157,Neptune,"['Tempio di Nettuno', 'Second Temple of Hera']",40.419813,15.0050313,http://pleiades.stoa.org/places/42219804,1
158,Nero,"['Monte Nero, Castro dei Volsci']",41.717809,14.070344,http://pleiades.stoa.org/places/432954,1
159,Romulus,['Luceres'],41.891775,12.486137,http://pleiades.stoa.org/places/749375794,1
160,Aquileia,"['Aquileia', 'Ἀκυληία', 'Aquilée', 'Aquileja', 'アクイレイア', 'Аквилея', 'Akwileja']",45.768259,13.364601,http://pleiades.stoa.org/places/187290,1
161,Padua,"['Patavium, Patauium', 'Patavium', 'Padova', 'Padua', 'Padoue', 'بادوفا', 'パドヴァ', 'Pádua', 'Падуя', '帕多瓦', 'Padoa', 'Πατάουιον', 'Padwa']",45.409561,11.876975,http://pleiades.stoa.org/places/393473,1
162,Milan,"['Mediolanium', 'Mediolanvm', 'Mediolanum', 'Milan', 'Milano', 'Mailand', 'Milán', 'ميلانو', 'ミラノ', 'Milão', 'Милан', 'Μεδιολάνιον', 'Милано', 'Mediolan']",45.463746,9.18806,http://pleiades.stoa.org/places/383706,1
163,London,"['Londres', 'Londra', 'London', 'لندن', 'Λονδίνο', 'लंदन', 'ロンドン', 'Лондон', 'লন্ডন', '伦敦', 'ਲੰਡਨ', 'Londinium', 'Augusta', 'Λονδίνιον', 'ܠܘܢܕܘܢ', 'The City', 'City of London', 'London City', 'Luân Đôn', 'Londyn']",51.50722222,-0.1275,http://betamasaheft.eu/places/LOC4325London,1
164,Paris,"['Lutetia', 'Lutecia', 'Luticia', 'Paris', 'Λουκοτοκία', 'Loutokotia', 'Lutetia Parisiorum', 'Luteci', 'Luteci, LVTECI', 'Parisius', 'Lutèce', 'Ville-Lumière', 'París', 'باريس', 'Παρίσι', 'Parigi', 'パリ', 'Париж', '巴黎', 'Paname', 'Pantruche', 'पैरिस', 'প্যারিস', 'ਪੈਰਿਸ', 'Λουκοτεκία', 'ܦܐܪܝܣ', 'Parisi', 'Paryż', 'Париз', 'Lutece', 'Pa-ri', 'Lutetia Parisorum']",48.855847,2.342384,http://pleiades.stoa.org/places/109126,1
165,Arles,"['Theline', 'Col. Arelate', 'Constantina', 'Col. Iulia Paterna Sextanorum Arelate', 'Arles', 'Arles-sur-Rhône', 'Arles-Trinquetaille', 'Arlés', 'アルル', 'Арль', 'Αρλ', '阿爾勒', 'آرل', 'Ἀρελᾶτε', 'Arelate']",43.677616,4.630799,http://pleiades.stoa.org/places/148217,1
166,Toulouse,"['Purpan-Ancely', 'Tolosa', 'Col. Iulia Tolosa', 'Civ. Tectosagum', 'Tolosates', 'Toulouse', 'تولوز', 'トゥールーズ', 'Тулуза', 'Tolosa de Francia', '圖盧茲', 'तुलूज़', 'Τουλούζ', 'ਟੁਲੂਜ਼', 'Τολῶσσα', 'Τουλούζη', 'Tuluza']",43.614749,1.397603,http://pleiades.stoa.org/places/246580,1
167,Laodicea,['Laodicea'],?,?,http://pleiades.stoa.org/places/897792,1
168,Smyrna,"['Naulochon', 'Smyrna', 'Palaia Smyrna', 'Bayraklı', 'Bayrakli', 'Izmir', 'İzmir, Izmir', 'Bayraklı, Bayrakli', 'Izmīr, Izmir', 'Smyrnē', 'Smyrna, Smyrnē, Smyrne', 'Yazmīr, Yazmir', 'Σμύρνη', 'Bayatika', 'Hadja Mucha', 'Bayrali']",38.463574,27.166791,http://pleiades.stoa.org/places/550771,1
169,Antioch,"['Antiochia', 'Theoupolis', 'Iopolis', 'Antiocheia epi Daphnē, Antiocheia on Daphne', 'Anṭaqya', 'Antiocheia', 'Antakya', 'Anṭākiya, Antakiya, Antakiyah, Antakiyya, Antakiyyah', 'Anṭaḳya, Antaqya', 'Anṭākya', 'Anṭakya, Antakya', 'Hatay', 'III Gallica (Vesp.) garrison, III Gallica (Vespasian) garrison', 'Antiocheia am Orontes', 'Antiocheia am Orontēs, Antiocheia epi Orontou, Antiocheia on the Orontes', 'Antioch', 'Ἀντιόχεια', 'Ἀντιόχεια', 'ܐܢܛܝܘܟܝܐ', 'انطاكية']",36.200663,36.165318,http://pleiades.stoa.org/places/658381,1
170,Alexandria,['Alexandria'],?,?,http://pleiades.stoa.org/places/876562,1
171,Jerusalem,"['Ierusalem', 'Hierosolyma', 'Col. Aelia Capitolina', 'Colonia Aelia Capitolina', 'Ailia', 'Aelia Capitolina', 'Yǝrušalayim', 'Yėrūšalayim', 'Yǝrūšȧlayim', ""Īliyāʾ, Iliya', Iliya, Iliya, Iliya"", ""Īliyā, Īliyāʾ, Īlyāʾ, Ilya', Ilya, Iliya, Iliya'"", 'Quds-e Šerīf, Quds-e Sherif', 'Quds-i Šerīf, Quds-i Sherif', 'Bait al-Maqdis, Bayt al-Maqdis, Beit el-Maqdis, Beyt el-Maqdis, Bayt al-Muqaddas, Bait al-Muqaddas, Beyt el-Muqaddas, Beit el-Muqaddas', 'Ursalimmu', 'Jerusalem', 'Ierousalēm, Ierousalem, Jerousalem', 'yrwšlm', 'al-Quds, el-Quds, al-Kuds', 'Quds-i Šarīf, Quds-i Sharif', 'al Quds, el Quds', 'Quds', 'Urusalim', 'Yǝrušȧlayim, Yerushalayim', 'Ἱεροσόλυμα', 'Ἱεροσόλυμα', 'ܐܘܪܫܠܡ', 'Yerushalayim', 'Al Quds', 'Yirushalāyim', 'El Quds esh Sherif', 'El Kuds', 'Gerusalemme', 'Al-Kuds', 'Kouds', 'ساليم', 'مريّا', 'يبوس', 'ورشليم', 'Иерусалим', 'صهيون', 'Zion', 'اريئيل', 'Ariel', 'إيلياء', 'لقدس', 'القدس الشريف', 'al-Quds aš-Šarīf', 'Ir Ha-Qodesh', 'بيت المقدس', 'Bayt al-Maqdis', 'Bayt al-Muqaddas', 'البلا', 'al-Balat', 'Ir Ha-Qdoosha', 'Ir David', 'Jerusalén', 'القدس', 'জেরুসালেম', 'Ιερουσαλήμ', 'Jérusalem', 'यरुशलम', 'エルサレム', 'Jerusalém', '耶路撒冷', 'ਜੇਰੂਸਲਮ', 'القدس القديمة', 'Sion', 'Σιων', 'Hierousalēm', 'Kudüs', 'Jerusalemi', 'Moria', 'Μωριας', 'Σολυμα', 'Αριηλ', 'Hierusalem', 'Jerozolima', 'Σαλημ', 'Ιεροσολυμα', 'Ιερουσαλημ', 'Iebus', 'Ιεβους', 'Salem', 'Ιεροσόλυμα']",31.776679,35.234156,http://pleiades.stoa.org/places/687928,1
172,Ostia,"['Ostia', 'Ὤστια', 'Ostia Antica']",41.754855,12.287656,http://pleiades.stoa.org/places/422995,1
173,West,['Masumabad West'],29.961872,52.766892,http://pleiades.stoa.org/places/922678,1
174,Sicily,"['Sicile', 'Sicily', 'Sicilia', 'Sizilien', 'Regione Siciliana', 'صقلية', 'Σικελία', 'シチリア', 'シチリア島', 'Sicília', 'Сицилия', '西西里岛', 'Regione Autonoma Siciliana', 'Región de Sicilia', 'সিসিলি দ্বীপপুঞ্জ', 'ਸਿਚੀਲੀਆ', 'सिसिली', 'Trinacria', 'Sikelía, Sikelia', 'Isola di Sicilia', 'Sicilya', 'Sycylia']",37.59995833,14.01537778,http://betamasaheft.eu/places/LOC5714Sicily,1
175,Baltic,"['Suebicum Mare', 'Baltic Sea']",58,20,http://pleiades.stoa.org/places/20618,1
176,Myos-hormos,"['Myos Hormos', 'Quseir', 'Μυὸς Ὅρμος', 'Muòs Hórmos, Muos Hormos, Myos Hormos', 'Quseir el-Qadim', 'Aphrodites Hormos', 'Μυος Ὅρμος', 'Ἀφροδίτης Ὅρμος', 'Μυὸς ὅρμος']",26.156611,34.24401,http://pleiades.stoa.org/places/786069,1
177,Malabar,"['Limyrike', 'Malabar', 'ܡܝܠܝܒܪ']",12.5,77.5,http://pleiades.stoa.org/places/50092,1
178,Zeno,"['Maiensis Statio', 'Castel San Zeno, Merano', 'Zenoburg, Meran', 'Meran', 'Merano', 'メラーノ', 'Мерано']",46.669126,11.163976,http://pleiades.stoa.org/places/187465,1
179,Actium,"['Actium Pr.', 'Akra Akri']",38.923568,20.749775,http://pleiades.stoa.org/places/530772,1
180,Octavianus,['Octavianus Ager'],?,?,http://pleiades.stoa.org/places/252223,1
181,The Asiatic Greeks,"['Ἰταλία', 'Italia, Italía', 'Italía, Italia']",38.25,16.25,http://pleiades.stoa.org/places/452346,1
182,Aricia,"['Aricia', 'Ἀρικία', 'Arikia', 'Ariccia', 'アリッチャ']",41.721691,12.674053,http://pleiades.stoa.org/places/422844,1
183,Germanicus,"['Saalburg', 'Castellum Saalaburgense', 'Ζάαλμπουρκ', 'Kastell Saalburg']",50.271217,8.566991,http://pleiades.stoa.org/places/109297,2
184,Judea,"['Emmaus', 'Nicopolis', 'Imwas', 'Ἀμμαοῦς']",31.83926,34.989193,http://pleiades.stoa.org/places/687891,1
185,Marcus,['Marco Pedonio'],41.951766,12.71357,http://pleiades.stoa.org/places/422969,1
