FID,token,names,latitude,longitude,identifier,counts
28,Italy,"['Italia', 'Repubblica Italiana', 'Republic of Italy', 'ايطاليا', 'ইতালী', 'Italien', 'Ιταλία', 'Italy', 'Italie', 'इटली', 'イタリア', 'Itália', 'Италия', '意大利', 'República Italiana', 'il Bel Paese', 'إيطاليا', 'イタリア共和国', 'Italian Republic', 'Ἰταλία', 'ܐܝܛܐܠܝ', 'Itali', 'İtalya', 'Włochy', 'Italia (Ý)', 'Ý']",43,12,http://betamasaheft.eu/places/LOC3940Italy,31
29,Roman,['Roman Agora'],37.974038,23.7261021,http://pleiades.stoa.org/places/773761100,7
30,Spain,['Presa de Román'],38.318672,-1.2778259,http://pleiades.stoa.org/places/559027219,11
31,Cappadocia,['Cappadocia'],39.25,35.75,http://pleiades.stoa.org/places/628949,2
32,East,['East Coker'],50.914898,-2.65855,http://pleiades.stoa.org/places/79443,7
33,the Upper Germany,"['Visurgis', 'Weser', 'Οὐίσουργις']",52.54852865,9.0083933,http://pleiades.stoa.org/places/99060,1
34,Rhaetia,"['Brigantium', 'Brigantii', 'Bregenz', 'ブレゲンツ', 'Брегенц', 'Μπρέγκεντζ', '布雷根茨', 'Brégence', 'بريغنز', 'Βριγάντιον', 'Bregencja']",47.503041,9.747061,http://pleiades.stoa.org/places/187325,3
35,Noricum,"['Noricum', 'Norici', 'Νωρικόν']",47.39343982,13.26112992,http://pleiades.stoa.org/places/187490,3
36,Pannonia,"['Pannonia', 'Pannonii', 'Παννονία']",46.5,15.5,http://pleiades.stoa.org/places/197425,4
37,Syria,['Syria'],38.295542,20.592532,http://pleiades.stoa.org/places/531109,10
38,Egypt,"['Aigyptos', 'Αἴγυπτος']",32.5,32.5,http://pleiades.stoa.org/places/1001943,15
39,Tyre,"['Tyrus', 'Col. Septimia Severa', 'Ṣuru, Suru', 'Ṣūru, Suru', 'Ṭūrā, Tura', 'Ṣūr, Sur, Sour', 'Ṭūra', 'Tyr', 'Ṣor, Sor', 'Ṣurru, Surru', 'Sur', 'Colonia Sept. T.', 'Colonia Septimia T., Colonia Septimia Tyra, Colonia Sept. T., Col. Septimia T.', 'Col. Septimia T.', 'Τύρος', 'Tyros', 'Tyre (Tyrus)', 'صور']",33.271624,35.198329,http://pleiades.stoa.org/places/678437,1
40,Marseilles,"['Massalia', 'Massilia', 'Marseille', 'Μασσαλία', 'Massalía, Massalia', 'Μασσαλία', 'Marsiglia', 'Marsella', 'مارسيليا', 'マルセイユ', 'Marselha', 'Марсель', '马赛', 'मार्सैय', 'Marseilles', 'Marsylia', 'Marsilya']",43.296854,5.382499,http://pleiades.stoa.org/places/148127,1
41,Mediterranean,"['Cyprus', 'Insvla Cypros', 'Insula Cypros', 'Κύπρος', 'ܩܘܦܪܘܣ']",35,33,http://pleiades.stoa.org/places/707498,10
42,Adriatic,"['Hadriaticum', 'Adriaticum', 'Superum Mare', 'Ἀδρία, Ἀδριατικὸν', 'Adriatic Sea', 'أذريس']",42.7752864,15.885196,http://pleiades.stoa.org/places/1004,2
43,Naples,"['Parthenope', 'Νεάπολις', 'Neapolis', 'Naples', 'Napoli', 'Crypta Neapolitana, Napoli', 'Neapel', 'Nápoles', 'نابولي', 'ナポリ', 'Неаполь', '那不勒斯', 'नापोलि', 'Napule', 'নেপলস', 'Νάπολη', 'Νεάπολις', 'Neapol']",40.839995,14.25287,http://pleiades.stoa.org/places/433014,3
44,Provence,"['Glanum', 'Saint-Rémy', 'Saint-Rémy-de-Provence', 'サン＝レミ＝ド＝プロヴァンス', 'St Remy Provence', 'Saint Remy Provence', 'سان ريمي دو بروفنس', 'সেন্ট-রেমি-দে-প্রোভিন্স', 'Сен-Реми-де-Прованс', '圣雷米', 'سانت ريمي دي بروفنس']",43.776409,4.831013,http://vici.org/vici/16624,1
45,Rhine,"['Rhenus', 'Rhein', 'ὁ Ῥῆνος', 'Rhine', 'Rhin', 'Ῥῆνος']",46.6325,8.672222,http://pleiades.stoa.org/places/109277,3
46,kingdom,['Pyramids of Meroe'],16.9385538,33.7493469,http://pleiades.stoa.org/places/97711900,1
47,Lusitania,"['República Portuguesa', 'Lusitania', 'البرتغال', 'পর্তুগাল', 'Portugal', 'Πορτογαλία', 'पुर्तगाल', 'Portogallo', 'ポルトガル', 'Португалия', '葡萄牙', 'برتغال', 'Republic of Portugal', 'ポルトガル共和国', 'Portuguese Republic', 'Λουσιτανία', 'Portugallia', 'Portugalia', 'Portugali', 'Portekiz', 'Bồ Đào Nha']",36.094,-18.729,http://sws.geonames.org/2264397,1
48,Baetica,"['Obulco', 'Municipium Pontificense', 'Porcuna']",37.870867,-4.184754,http://pleiades.stoa.org/places/265982,2
49,The kingdom of Portugal,['Aroche'],37.9436167,-6.9539589,http://pleiades.stoa.org/places/575823155,1
50,North,['North Wraxall'],51.47376,-2.263136,http://pleiades.stoa.org/places/79619,3
51,Grenada,"['Iliberri', 'Elvira', 'Municipium Florentinum', 'Granada', 'Granata', 'Grenade', 'غرناطة', 'グラナダ', 'Гранада', 'جرينادا', 'Γρανάδα', 'Grenada', 'グレナダ', '格拉纳达', 'গ্রানাডা', 'Granada (Granada)', 'Granada(O) / Granada(M) / Granada(P) / Andalucía']",37.176484,-3.597934,http://pleiades.stoa.org/places/265921,1
52,Andalusia,"['Oretania', 'Oretani', 'Ὠρητανοί', 'Oretanoi']",38.5,-3.5,http://pleiades.stoa.org/places/265989,1
53,Murcia,['Murcia'],37.9923795,-1.1305431,http://pleiades.stoa.org/places/810796636,1
54,Valencia,"['Valentia', 'Valencia', 'Valence', 'Οὐαλεντία', 'Valenza', 'بلنسية', 'バレンシア', 'Valência', 'Валенсия', 'Βαλένθια', '巴倫西亞', 'ਵਾਲੈਂਸੀਆ', 'Valensiya', 'Walencja']",39.470371,-0.376813,http://pleiades.stoa.org/places/266090,1
55,Catalonia,['Alba'],41.9697285,2.7430492,http://pleiades.stoa.org/places/246154,1
